# Audiofrog official car-audio target curve (Andy Wehmeyer, 2024 revision)
# Source: audiofrog.com target curve download (OSM hi-res version), fetched 2026-08-30
# 8191 points, 2.93-23997 Hz linear grid, dB values not normalized
2.92969,9.02057
5.85938,9.02022
8.78906,9.01879
11.7188,9.01495
14.6484,9.00692
17.5781,8.99241
20.5078,8.96869
23.4375,8.93265
26.3672,8.88096
29.2969,8.8102
32.2266,8.71706
35.1563,8.59864
38.0859,8.45266
41.0156,8.27771
43.9453,8.07346
46.875,7.84072
49.8047,7.58146
52.7344,7.29863
55.6641,6.99601
58.5938,6.6779
61.5234,6.34887
64.4531,6.0135
67.3828,5.67613
70.3125,5.34073
73.2422,5.01079
76.1719,4.68925
79.1016,4.3785
82.0313,4.08039
84.9609,3.79625
87.8906,3.527
90.8203,3.27315
93.75,3.03487
96.6797,2.81206
99.6094,2.60441
102.539,2.41144
105.469,2.23255
108.398,2.06703
111.328,1.91414
114.258,1.7731
117.188,1.64312
120.117,1.52342
123.047,1.41323
125.977,1.31182
128.906,1.2185
131.836,1.13261
134.766,1.05352
137.695,0.980677
140.625,0.913538
143.555,0.851612
146.484,0.794451
149.414,0.741647
152.344,0.692822
155.273,0.647625
158.203,0.605751
161.133,0.566912
164.063,0.530856
166.992,0.497343
169.922,0.466167
172.852,0.437131
175.781,0.410067
178.711,0.384817
181.641,0.361234
184.57,0.339189
187.5,0.318572
190.43,0.299273
193.359,0.281191
196.289,0.264242
199.219,0.248344
202.148,0.233429
205.078,0.219423
208.008,0.206262
210.938,0.193902
213.867,0.182279
216.797,0.171345
219.727,0.161061
222.656,0.15138
225.586,0.142266
228.516,0.133678
231.445,0.125583
234.375,0.117946
237.305,0.110744
240.234,0.103941
243.164,0.0975077
246.094,0.0914268
249.023,0.0856677
251.953,0.0802054
254.883,0.0750209
257.813,0.0700859
260.742,0.0653897
263.672,0.0609048
266.602,0.0566182
269.531,0.0525116
272.461,0.0485648
275.391,0.0447697
278.32,0.0411037
281.25,0.0375569
284.18,0.0341138
287.109,0.0307643
290.039,0.027497
292.969,0.024304
295.898,0.0211717
298.828,0.0180899
301.758,0.0150588
304.688,0.0120576
307.617,0.0090895
310.547,0.00614523
313.477,0.00321651
316.406,0.000299237
319.336,-0.00260659
322.266,-0.00551028
325.195,-0.00841028
328.125,-0.0113185
331.055,-0.0142267
333.984,-0.0171441
336.914,-0.0200713
339.844,-0.0230099
342.773,-0.0259599
345.703,-0.0289229
348.633,-0.0318998
351.563,-0.0348908
354.492,-0.0378957
357.422,-0.0409137
360.352,-0.0439458
363.281,-0.046995
366.211,-0.0500568
369.141,-0.0531279
372.07,-0.0562132
375,-0.059309
377.93,-0.0624158
380.859,-0.065531
383.789,-0.0686546
386.719,-0.0717882
389.648,-0.0749282
392.578,-0.0780719
395.508,-0.0812204
398.438,-0.0843769
401.367,-0.0875308
404.297,-0.0906891
407.227,-0.093849
410.156,-0.0970095
413.086,-0.100165
416.016,-0.103327
418.945,-0.106476
421.875,-0.109628
424.805,-0.112774
427.734,-0.115914
430.664,-0.119053
433.594,-0.122185
436.523,-0.125306
439.453,-0.128424
442.383,-0.131533
445.313,-0.134634
448.242,-0.137726
451.172,-0.14081
454.102,-0.143886
457.031,-0.14695
459.961,-0.150005
462.891,-0.15305
465.82,-0.156087
468.75,-0.159115
